iter	Passed	Remaining
286	860	2138
287	863	2133
288	865	2129
289	868	2125
290	870	2121
291	873	2117
292	875	2112
293	878	2108
294	880	2104
295	883	2100
296	885	2095
297	887	2090
298	890	2086
299	892	2082
300	895	2078
301	897	2073
302	899	2068
303	901	2063
304	903	2058
305	905	2053
306	907	2048
307	909	2044
308	912	2039
309	914	2034
310	916	2030
311	918	2025
312	920	2020
313	922	2016
314	925	2012
315	927	2007
316	929	2003
317	932	1999
318	934	1994
319	936	1990
320	939	1988
321	942	1983
322	944	1979
323	946	1975
324	949	1971
325	951	1967
326	953	1963
327	956	1959
328	958	1954
329	960	1950
330	962	1945
331	964	1941
332	967	1937
333	969	1932
334	971	1927
335	973	1923
336	975	1919
337	977	1914
338	979	1910
339	981	1906
340	984	1902
341	986	1897
342	988	1893
343	990	1889
344	992	1884
345	994	1880
346	997	1876
347	999	1872
348	1001	1868
349	1003	1864
350	1006	1860
351	1008	1856
352	1010	1852
353	1013	1849
354	1015	1845
355	1017	1841
356	1019	1837
357	1021	1832
358	1024	1828
359	1026	1825
360	1028	1821
361	1030	1816
362	1032	1812
363	1034	1808
364	1036	1803
365	1039	1800
366	1041	1796
367	1044	1793
368	1046	1789
369	1048	1785
370	1050	1781
371	1052	1777
372	1055	1774
373	1058	1771
374	1061	1768
375	1063	1765
376	1066	1763
377	1069	1760
378	1072	1757
379	1075	1754
380	1078	1752
381	1081	1749
382	1084	1746
383	1086	1743
384	1089	1740
385	1092	1737
386	1096	1736
387	1099	1733
388	1101	1730
389	1104	1727
390	1107	1724
391	1111	1724
392	1115	1723
393	1119	1721
394	1121	1718
395	1124	1715
396	1128	1713
397	1132	1713
398	1137	1712
399	1140	1711
400	1143	1708
401	1146	1705
402	1149	1702
403	1152	1700
404	1156	1698
405	1160	1697
406	1163	1695
407	1166	1692
408	1168	1689
409	1171	1685
410	1174	1682
411	1177	1679
412	1179	1676
413	1183	1675
414	1186	1672
415	1190	1670
416	1195	1671
417	1199	1670
418	1202	1667
419	1205	1664
420	1208	1662
421	1211	1659
422	1214	1656
423	1216	1653
424	1220	1650
425	1222	1647
426	1226	1646
427	1230	1644
428	1232	1640
429	1235	1637
430	1239	1636
431	1243	1635
432	1247	1633
433	1249	1630
434	1252	1626
435	1256	1625
436	1260	1623
437	1262	1620
438	1265	1617
439	1268	1614
440	1271	1612
441	1275	1610
