iter	RMSE
294	8.611418063
295	8.61117413
296	8.611064257
297	8.610943748
298	8.610755893
299	8.610314499
300	8.610108808
301	8.609973946
302	8.609819486
303	8.609634501
304	8.609505922
305	8.609350671
306	8.609216003
307	8.609126956
308	8.60897238
309	8.608830765
310	8.608744849
311	8.608608345
312	8.608477395
313	8.608366265
314	8.608134385
315	8.607994468
316	8.607869918
317	8.607681886
318	8.607469605
319	8.607357599
320	8.60726219
321	8.607047462
322	8.60682199
323	8.606554985
324	8.606444331
325	8.606016093
326	8.605840451
327	8.605667453
328	8.605508156
329	8.605345734
330	8.60505092
331	8.604979018
332	8.604759621
333	8.604503448
334	8.604401194
335	8.604229652
336	8.604057172
337	8.603909445
338	8.603755319
339	8.603617063
340	8.603467246
341	8.603302765
342	8.603070404
343	8.602857176
344	8.602670233
345	8.602525796
346	8.602430716
347	8.602275983
348	8.602121652
349	8.601926155
350	8.601795749
351	8.601498587
352	8.601312927
353	8.601139259
354	8.600919652
355	8.600740848
356	8.600599306
357	8.600482554
358	8.600377447
359	8.600294207
360	8.600121542
361	8.599984566
362	8.599859742
363	8.599768885
364	8.599675145
365	8.599467915
366	8.599268884
367	8.599162064
368	8.598810785
369	8.598688473
370	8.59847989
371	8.598379333
372	8.598263289
373	8.598079097
374	8.597978204
375	8.597885581
376	8.597758392
377	8.59754344
378	8.597417771
379	8.597326269
380	8.597132585
381	8.596991848
382	8.596812452
383	8.596693552
384	8.59657349
385	8.59643734
386	8.596299995
387	8.596142689
388	8.596048319
389	8.595910635
390	8.595786055
391	8.595640689
392	8.595523294
393	8.595414168
394	8.595337092
395	8.595166144
396	8.595065981
397	8.594928318
398	8.594785591
399	8.594662512
400	8.594479026
401	8.594350464
402	8.594239389
403	8.594144937
404	8.594042347
405	8.593904397
406	8.593779331
407	8.593626676
408	8.593499428
409	8.593234763
410	8.593087104
411	8.593006104
412	8.592900584
413	8.592753951
414	8.592673177
415	8.592522056
416	8.592342254
417	8.592232097
418	8.592088236
419	8.591925279
420	8.591810024
421	8.591706696
422	8.591576999
423	8.591505894
424	8.591437662
425	8.591310835
426	8.591243127
427	8.591092034
428	8.590890163
429	8.590785239
430	8.590669948
431	8.59054961
432	8.590462554
433	8.590283418
434	8.590215863
435	8.590114036
436	8.589994598
437	8.589749824
438	8.589658694
439	8.58955166
440	8.589499424
441	8.589396441
442	8.58933105
443	8.58928533
444	8.589054188
445	8.588770907
446	8.58869693
447	8.588592619
448	8.588522419
449	8.588410372
450	8.588196384
451	8.588104752
452	8.587882213
453	8.587743649
454	8.587517023
455	8.587443237
456	8.587371278
457	8.587272539
458	8.587111969
459	8.587021541
460	8.586951033
461	8.586845168
462	8.586695192
463	8.58649733
464	8.586245678
465	8.586162732
466	8.586012451
467	8.585908658
468	8.585769086
469	8.585690485
470	8.585572869
471	8.585464066
472	8.585232506
473	8.585129996
474	8.58491
475	8.584790565
476	8.584611959
477	8.584416245
478	8.584351993
479	8.584202632
480	8.584005531
481	8.583911329
482	8.583775228
483	8.583684745
484	8.583617043
485	8.583536524
486	8.583454848
487	8.583390828
488	8.583305177
489	8.583145303
490	8.582999325
491	8.582869982
492	8.582764444
493	8.58265597
494	8.582573241
495	8.582497902
496	8.582407178
497	8.582316192
498	8.58218843
499	8.582085838
500	8.581974331
501	8.58181296
502	8.581592681
503	8.581551534
504	8.581220551
505	8.581120604
506	8.581045361
507	8.580960797
508	8.5808475
509	8.580772458
510	8.580642807
511	8.580424289
512	8.580212815
513	8.580068771
514	8.579927945
515	8.579874118
516	8.579761011
517	8.579663709
518	8.579561762
519	8.579474557
520	8.57928257
521	8.579197832
522	8.579138357
523	8.579037027
524	8.578963509
525	8.578806953
526	8.578679039
527	8.578505524
528	8.578244947
529	8.578164167
530	8.578068252
531	8.577972609
532	8.577884024
533	8.577722166
534	8.577600342
535	8.577516839
536	8.577397792
537	8.577370428
538	8.57726964
539	8.577205768
540	8.577110019
541	8.577030876
542	8.576868624
543	8.576761334
544	8.57666509
545	8.57650874
546	8.576426419
547	8.576317841
548	8.576158901
549	8.575961716
550	8.575865637
551	8.575752631
552	8.57566218
553	8.575559642
554	8.57542506
555	8.575308839
556	8.575194635
557	8.575140227
558	8.574901996
559	8.574813452
560	8.574679499
561	8.574561696
562	8.574438378
563	8.574316784
564	8.574217352
565	8.573871236
566	8.573785058
567	8.573662848
568	8.573542931
569	8.5734001
570	8.573242578
571	8.573087575
572	8.572952851
573	8.572672619
574	8.57256536
575	8.572443472
576	8.572342806
577	8.572266402
578	8.572214995
579	8.572126577
580	8.571981103
581	8.571940412
582	8.571760795
583	8.571547718
584	8.571442396
585	8.571342378
586	8.57118324
587	8.571088827
588	8.571055444
589	8.570982586
590	8.570881597
591	8.570798888
592	8.570696996
593	8.570507954
594	8.57042767
595	8.570349498
596	8.570252757
597	8.570153202
598	8.570018569
599	8.569913856
600	8.569809157
601	8.569629827
602	8.569531621
603	8.569352901
604	8.569231944
605	8.569146899
606	8.568970002
607	8.568865747
608	8.568735004
609	8.568597985
610	8.568514404
611	8.568399596
612	8.568294591
613	8.568094178
614	8.567966472
615	8.567884234
616	8.567742439
617	8.56764732
618	8.567505464
619	8.567398873
620	8.567289917
621	8.567000627
622	8.566895514
623	8.566815024
624	8.566711925
625	8.566586031
626	8.566438189
627	8.566346534
628	8.566308046
629	8.566156215
630	8.566065255
631	8.565961449
632	8.565838815
633	8.565772671
634	8.565669275
635	8.565525342
636	8.565460139
637	8.56538435
638	8.565324692
639	8.565231854
640	8.565149827
641	8.565016503
642	8.564888764
643	8.564773853
644	8.564664219
645	8.564601608
646	8.564542992
647	8.564449095
648	8.564289557
649	8.564230216
650	8.564069716
651	8.563967464
652	8.563850768
653	8.563764307
654	8.563657264
655	8.56353717
656	8.563153103
657	8.563068922
658	8.562967242
659	8.562813816
660	8.562674685
661	8.562633626
662	8.562573847
663	8.562499587
664	8.562458904
665	8.562147027
666	8.562062239
667	8.561935963
668	8.561812545
669	8.561701873
670	8.561627418
671	8.561478183
672	8.56141876
673	8.561312766
674	8.561200443
675	8.561124825
676	8.561032762
677	8.560938347
678	8.56085226
679	8.560729539
680	8.560597192
681	8.560452608
682	8.560246492
